site_id,latitude,longitude,count
1,13.49661089,100.416123,19
2,13.518388,100.408107,1
3,13.520844,100.407554,1
4,13.521398,100.409405,1
5,13.522737,100.407009,2
6,13.52455125,100.4176485,3
7,13.5246785,100.4203355,2
8,13.525681,100.416086,1
9,13.526613,100.41622,1
10,13.527233,100.416857,1
11,13.52723925,100.4195405,3
12,13.528159,100.418373,2
13,13.528929,100.429134,1
14,13.529282,100.43103,1
15,13.529294,100.423161,1
16,13.5295295,100.4245995,2
17,13.530628,100.423704,1
18,13.5296865,100.4264975,2
19,13.530595,100.428184,2
20,13.530754,100.4293375,2
21,13.531636,100.422574,1
22,13.531701,100.420972,1
23,13.53271825,100.4309643,3
24,13.5330535,100.4252425,2
25,13.5332605,100.4278435,2
26,13.5335,100.42273,1
27,13.53492825,100.4377885,3
28,13.5347535,100.420796,2
29,13.5343855,100.4240905,2
30,13.535594,100.42379,1
31,13.534667,100.43938,1
32,13.534843,100.425809,1
33,13.5352,100.440967,1
34,13.536031,100.441185,1
35,13.535785,100.44011,1
36,13.5362325,100.4225425,2
37,13.5365895,100.4254725,2
38,13.536744,100.442227,1
39,13.537428,100.421013,1
40,13.538593,100.42079,1
41,13.537629,100.423312,1
42,13.538188,100.442026,1
43,13.538563,100.425292,1
44,13.539664,100.44245,1
45,13.540861,100.439194,2
46,13.540152,100.420473,1
47,13.540714,100.434762,2
48,13.541834,100.436916,5
49,13.5411045,100.4443855,2
50,13.542402,100.444078,1
51,13.541493,100.442757,2
52,13.5424305,100.441157,2
53,13.54327053,100.432847,11
54,13.542883,100.44555,2
55,13.5439535,100.4388645,4
56,13.5444745,100.4450675,2
57,13.54553875,100.4242913,4
58,13.545908,100.425425,1
59,13.54699481,100.4209131,6
60,13.547949,100.419051,1
61,13.54860563,100.4255105,4
62,13.549871,100.417343,1
63,13.550084,100.419511,1
64,13.551537,100.418994,1
65,13.55236925,100.4201235,3
66,13.55358913,100.4438859,5
67,13.553588,100.417396,1
68,13.5551835,100.417157,2
69,13.5557625,100.4197805,4
70,13.55807148,100.4187087,12
71,13.56006425,100.4162392,5
72,13.56162988,100.4249599,4
73,13.560975,100.422326,1
74,13.561079,100.420136,1
75,13.561489,100.420422,1
76,13.56229175,100.417275,4
77,13.562294,100.421772,1
78,13.562378,100.423053,1
79,13.562453,100.419951,1
80,13.563632,100.425537,1
81,13.563819,100.425199,1
82,13.5643345,100.4185623,3
83,13.564428,100.424549,1
84,13.564694,100.422204,1
85,13.564948,100.423289,1
86,13.565008,100.420279,1
87,13.565131,100.416618,1
88,13.56656631,100.4182217,7
89,13.5660385,100.420898,2
90,13.566772,100.42176,1
91,13.566078,100.4395628,3
92,13.565959,100.425618,1
93,13.56626375,100.4241993,3
94,13.566162,100.442414,1
95,13.567339,100.4331418,5
96,13.56701175,100.4233483,3
97,13.566649,100.4354345,2
98,13.567363,100.3917385,2
99,13.569132,100.392193,1
100,13.56807988,100.423063,5
101,13.5677645,100.4198675,2
102,13.56832125,100.4353728,3
103,13.568216,100.425461,1
104,13.568235,100.439674,1
